Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 
"      Women's Footwear",91.993,87.842,94.713,100,100.713,97.164,95.039,99.388,96.787,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Children's Footwear",96.018,96.204,99.651,100,96.704,95.58,95.734,97.935,97.535,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Housing & Utilities,106.406,101.1,99.714,100,101.003,102.372,105.034,109.499,113.517,113.388,110.25,101.694,93.299,91.254,89.48,77.819,77.639,75.17,74.232,74.307,74.558,76.234,74.792,72.747,73.68,71.833,69.791,69.148,68.477,67.547,65.162,63.528,62.102,57.913,56.9,56.905,57.788,59.136,57.137,55.202,54.741,52.79,50.156,44.134,41.998,42.009,41.541,38.923,36.361,31.854,30.791,30.312,29.648,29.432,28.789,28.445,27.748,27.908,27.401,26.907,26.849,26.688
    Accommodation,106.158,101.841,100.392,100,100.951,104.145,108.481,112.425,115.441,115.04,110.549,101.499,92.789,91.95,87.254,76.421,75.214,74.675,74.741,75.139,75.995,76.602,76.084,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Utilities & Other Fuels,108.31,95.432,94.523,100,101.313,91.772,84.422,92.003,102.015,103.325,107.367,101.515,94.88,86.499,100.162,84.998,86.53,78.192,74.208,73.251,71.58,76.703,72.283,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Water Supply,100,100,100,100,93.591,81.463,75.744,75.744,75.744,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Refuse Collection,116.729,100,100,100,100,100,90.722,90.722,75.032,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Electricity,111.145,91.382,90.78,100,105.92,95.935,87.784,100.938,118.857,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Gas,111.906,102.044,96.344,100,99.96,95.26,88.499,92.534,103.791,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Household Durables & Services,103.842,101.766,100.285,100,99.227,98.45,97.419,95.689,96.275,94.608,90.192,88.076,82.745,81.896,81,79.154,78.856,79.355,81.859,82.506,82.9,83.56,83.93,84.393,84.445,84.138,84.266,83.769,80.056,79.315,78.07,76.266,75.765,73.265,72.102,71.2,70.768,70.68,70.492,70.402,69.64,68.291,65.815,62.184,59.579,58.486,57.343,57.854,55.399,44.184,38.773,38.384,38.014,37.335,37.507,36.767,34.577,32.343,31.574,31.498,32.154,32.11
